ID_Enfermero;Nombre_y_Apellido;Telefono;Email;Matricula
1;Juan Pérez;387-1045654;juan.perez@hospital.com;ENF0001
2;Ana García;387-1343076;ana.garcia@hospital.com;ENF0002
3;Carlos Martínez;387-3578418;carlos.martinez@hospital.com;ENF0003
4;Laura López;387-3862865;laura.lopez@hospital.com;ENF0004
5;Pedro Fernández;387-8579070;pedro.fernandez@hospital.com;ENF0005
6;María Rodríguez;387-1306756;maria.rodriguez@hospital.com;ENF0006
7;José Gómez;387-796573;jose.gomez@hospital.com;ENF0007
8;Lucía Sánchez;387-62596;lucia.sanchez@hospital.com;ENF0008
9;Luis Fernández;387-7923261;luis.fernandez@hospital.com;ENF0009
10;Rosa Pérez;387-9428517;rosa.perez@hospital.com;ENF0010
11;Raúl Martínez;387-3372803;raul.martinez@hospital.com;ENF0011
12;Sandra López;387-8578466;sandra.lopez@hospital.com;ENF0012
13;Javier Gómez;387-2773922;javier.gomez@hospital.com;ENF0013
14;Elena Torres;387-8134210;elena.torres@hospital.com;ENF0014
15;Diego Ruiz;387-2349288;diego.ruiz@hospital.com;ENF0015
